DatasetID,FileName,PID,URL,タイトル,巻次,シリーズ,版表示,著者,出版者,出版年,出版年(W3CDTF),ISBN,冊数（ページ数・大きさ）,NDC分類,NDC分類（第８版）,NDC分類（第９版）,NDLC分類,件名（NDLSH）,公開範囲
tosho_1880_rikei,1081846_R0000242.json,1081846,https://dl.ndl.go.jp/info:ndljp/pid/1081846,産婆論,卷之1-5,,3版,東京府病院 編輯||山崎玄脩 譯,丸善書店,1886,1886,,514p ; 21cm,495,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826378_R0000078.json,826378,https://dl.ndl.go.jp/info:ndljp/pid/826378,数学講義録,算術部　第１２－１６回,,,,[ ],明20-21,1888,,,410,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,830937_R0000210.json,830937,https://dl.ndl.go.jp/info:ndljp/pid/830937,無機化学(密氏),第1冊,,,ダブリウ・ミルレル 著||蘆葉六郎 訳||磯野徳三郎 閲,文部省編輯局,明20.10,1887,,,430,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826469_R0000025.json,826469,https://dl.ndl.go.jp/info:ndljp/pid/826469,数学復修,巻1,,,"長嶋定静, 長沼富寛 編",晩翠閣,明10-13,1880,,,410,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,826626_R0000036.json,826626,https://dl.ndl.go.jp/info:ndljp/pid/826626,簡易平算書,,,,谷田部梅吉 編,吉岡書籍店,明21.9,1888,,345p ; 20cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,830296_R0000074.json,830296,https://dl.ndl.go.jp/info:ndljp/pid/830296,物理学,,,訂2版,宇田川準一 訳,煙雨楼[ほか],明21.8,1888,,621p ; 19cm,420,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,830295_R0000188.json,830295,https://dl.ndl.go.jp/info:ndljp/pid/830295,物理学,,,,宇田川準一 訳,福田仙蔵[ほか],明21.2,1888,,621p ; 19cm,420,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,830295_R0000186.json,830295,https://dl.ndl.go.jp/info:ndljp/pid/830295,物理学,,,,宇田川準一 訳,福田仙蔵[ほか],明21.2,1888,,621p ; 19cm,420,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829862_R0000006.json,829862,https://dl.ndl.go.jp/info:ndljp/pid/829862,初等小学珠算精題,第1,,,佐野忠振 著,開文舎,明19.4,1886,,,419.9,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829665_R0000011.json,829665,https://dl.ndl.go.jp/info:ndljp/pid/829665,珠算問題集,第１巻,,,轟久五郎 編,中村藤平[ほか],明18.8,1885,,,419.9,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,829229_R0000058.json,829229,https://dl.ndl.go.jp/info:ndljp/pid/829229,小学塵劫記,一,,,"伊藤有隣, 藤塚唯一 編",集英堂,明13.7,1880,,,419,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828946_R0000069.json,828946,https://dl.ndl.go.jp/info:ndljp/pid/828946,宥克立(ユークリッド),,,,トドハンター 著||長沢亀之助 訳||川北朝鄰 閲,東京数理書院,明17.1,1884,,,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828851_R0000039.json,828851,https://dl.ndl.go.jp/info:ndljp/pid/828851,平面幾何学教授書,第２巻,,,境野昇次郎 編,金港堂,明15-17,1884,,,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828667_R0000157.json,828667,https://dl.ndl.go.jp/info:ndljp/pid/828667,軸式円錐曲線法,,,,トドハンター 著||上野清 訳||川北朝鄰 閲,東京数理書院,明14.7,1881,,2冊 (535p) ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828667_R0000036.json,828667,https://dl.ndl.go.jp/info:ndljp/pid/828667,軸式円錐曲線法,,,,トドハンター 著||上野清 訳||川北朝鄰 閲,東京数理書院,明14.7,1881,,2冊 (535p) ; 20cm,414,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828373_R0000003.json,828373,https://dl.ndl.go.jp/info:ndljp/pid/828373,方程式問題,下,,,田口虎之助 抄訳,田口虎之助,明14.6,1881,,,412,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,828075_R0000186.json,828075,https://dl.ndl.go.jp/info:ndljp/pid/828075,代数学,,,,トドハンター 著||長沢亀之助 訳||川北朝鄰 閲,丸屋善七[ほか],明16.1,1883,,1048p ; 20cm,412,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827946_R0000008.json,827946,https://dl.ndl.go.jp/info:ndljp/pid/827946,訓蒙代数学,上編,,,"トドハンター 著||大森俊次, 谷田部梅吉 訳",水津郁等,明20.11,1887,,236p ; 20cm,412,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827896_R0000156.json,827896,https://dl.ndl.go.jp/info:ndljp/pid/827896,洋算例題 : 答附,,,増補改正(2版),佐々木綱親 編,岡島真七,明18.5,1885,,151丁 ; 13×19cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827896_R0000144.json,827896,https://dl.ndl.go.jp/info:ndljp/pid/827896,洋算例題 : 答附,,,増補改正(2版),佐々木綱親 編,岡島真七,明18.5,1885,,151丁 ; 13×19cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827896_R0000080.json,827896,https://dl.ndl.go.jp/info:ndljp/pid/827896,洋算例題 : 答附,,,増補改正(2版),佐々木綱親 編,岡島真七,明18.5,1885,,151丁 ; 13×19cm,411,,,,,インターネット公開（保護期間満了）
tosho_1880_rikei,827586_R0000051.json,827586,https://dl.ndl.go.jp/info:ndljp/pid/827586,中等小学筆顆算教授書,6,,,辻敬之 著,普及舎,"明16,17",1884,,,411,,,,,インターネット公開（保護期間満了）
